comment,label
[CLS]ایجانم عزیزم...دستش بشکنه الهی..[SEP]یک زن می‌گوید که شوهرش او را زده و از او تنها پناهی ندارد. او از خدا عدالت می‌خواهد.[PAD],empathy
[CLS]من جایی از ضایع شدن خودم ندیدم😐وقتی توی سایت عمومی نظر میدید منتظر نظرات باش.شما بهش گفتی تو اون خونه نمون و برو.به یه کاربر دیگه ام گفتی طلاق چرا نمیگیری.من طرفدار مردا نیستم طرفدار حقم.این نمیشه چشامونو ببندیم توی هررررردتاپیکی وارد شدیم بگیم مقصر مرده و زنه بی گناهه.[SEP]دیشب درگیری بین من و همسرم به خاطر اینکه او به بچه ام اذیت میکرد و من او را متوقف کردم. او به من حمله کرد و من آسیب دیدم. اکنون من نمی‌دانم چه کاری باید بکنم.[PAD],other
[CLS]خدایا این مردا چرا انقدر مریضن بشکنه دستش[SEP]شخصی که داستان را تعریف می‌کند، از تحمل آزار و اذیت توسط شخص دیگری شکایت می‌کند. پس از مشاهده پیامی از پدرش که او را نمی‌خواهد، به او می‌گوید که نمی‌خواهد او را ببیند و از زندگی او دور شود. در نهایت، شخص دیگری او را مورد خشونت قرار می‌دهد و او را به دکتر می‌برد.[PAD],empathy
[CLS]شاید پشیمونه از گرفتنش.بهتر نیست اگه طلاق نمیخواد بمونیم و فراموش کنه و برع دنبال علاقه اش[SEP]شخصی کتک خورده است و می‌خواهد انتقام بگیرد. او نمی‌خواهد طلاق بگیرد. او به دنبال کمک برای گرفتن انتقام است.[PAD],conform
[CLS]چقد زود از کوره در میرین جفتتون بچه بازی نیستا ازدواجه تمرین کنید صبوری رو[SEP]در یک دعوا، من وی را زدم و او هم به من حمله کرد. سپس او عقدنامه را پاره کرد و من را تهدید کرد. اکنون من در حال تصمیم گیری برای جدا شدن هستم و نمی دانم چه کاری باید بکنم.[PAD],empathy
[CLS]یه کم تو زندگیت گذشت داشته باش...[SEP]فردی پس از دو هفته و نیم از شهر غریب بازگشت و سپس با مادرش به خانه خاله‌اش رفت. خاله‌اش اصرار کرد که شام بمانند، اما شوهر فرد او را تنها گذاشت. صبح روز بعد، در یک صحبت مودبانه، فرد عصبانی شد و با مشت به خودش زد.[PAD],conform
[CLS]تاپیک های قبلی رو ندیدم ولی شرط میبندم یا خیانت کرده یا خسیسه یا معتاده  یا با خانوادش مشکل داری که اینجور داغ کردی  خوب خواهر من همچین ادمی ارزش داره بخاطرش سکته کنی خدای نکرده یا ام اس بگیری؟اگر امکانشو داری جداشو اگر نداری مماشات کن نادیده بگیر تا بگذره اگر این چیزا نیست قابل حله اصلا ناراحت نباش[SEP]زنی که توسط شوهرش مورد خشونت قرار می‌گیرد، بعد از چند بار ضربه به سر، احساس ناتوانی و لرزش در دست‌ها و لب می‌کند. او اعتقاد دارد که اعصابش خورده است و به خودش ضربه می‌زند. در نهایت، شوهر بچه را می‌برد و برخی از وسایل بچه را هم می‌برد و زن نمی‌داند کجا برده است.[PAD],confront
[CLS]چقدر کینه😔😐یعنی تو هر بدبختی زن ها که بگردی آخرش میرسی به مردسالاری[SEP]یک دختر از بچگی به خاطر اتفاقاتی درد و رنج بسیاری کشیده است. در یکی از این اتفاقات، دستش داغ شده و رد قاشقی روی پوستش مانده است. او در زندگی عاشق شخصی شده بود که خانواده‌اش او را تحقیر کرده و به او آسیب رسانده بودند، اما حالا با نامزد خود خوشبخت است.[PAD],empathy
[CLS]همین الان رو کلانتری نامه بگیر برو پزشکی قانونی، حتی اگه ازش شکایت هم نکنی بزار نامه دستت باشه مدرکه[SEP]در داستان، شخصی با چاقو به سرم آمد و من را تهدید کرد. من ترس نداشتم و آماده بودم بمیرم. در نهایت، من شناسایی نشدم.[PAD],confront
"[CLS]فردا صبح برو پزشک قانونی طول درمان بگیر.[SEP]بچه به ننه و بابای شوهرش محل نمیده و کتک می‌خورد.,بدن بچه داغ استخوان دستش درد می‌کند و صورتش قرمز شده است.,بچه نمی‌داند چه کاری باید بکند.[PAD]",confront
[CLS]حوله داغم بزار مایاژ بده[SEP]در دعوایی که داشتیم، قهریم و کتکم زده است و گلوم را فشار داده است. درد گلوی من هر روز بدتر میشود و نمیتوانم آب دهانم را قورت بدهم. نیاز به کمک دارم.[PAD],empathy
